Program,Course_Code,Total_no_of_Cheld,Total_absences,first_term,mid_term,final,Total_grade
BBA,ACC 303,21,3,B-,A,B+,B+
BBA,ACC 303,21,3,C+,A,B-,C+
BBA,ACC 303,21,4,B,B+,B+,B+
BBA,ACC 303,21,5,C+,B+,B-,B-
BBA,ACC 303,21,3,B,B+,B,B-
BBA,ACC 303,21,0,A,A,A,B+
BBA,ACC 303,21,5,B-,B+,B,B-
BATHM,ACC 303,21,16,B,B+,C+,C-
BBA,ACC 303,21,0,B,A,B+,B-
BATHM,ACC 303,21,2,A,B+,B+,B+
BBA,ACC 303,21,2,B-,A,B+,B
BBA,ACC 303,21,3,B-,A,B,B
BBA,ACC 303,21,14,F,F,F,B
BATHM,ACC 303,21,10,A,B+,B,B
BATHM,ACC 303,21,5,B-,B+,B,B
BAEcon,ACC 303,21,2,B+,A,A,A
BBA,ACC 303,21,5,B-,B-,B-,B
BBA,ACC 303,21,6,B+,A,B+,B+
BATHM,ACC 303,21,4,B-,A,B,B-
BAEcon,ACC 303,21,4,B,B+,B+,B
BBA,ACC 303,21,6,C+,A,B,B-
BBA,ACC 303,21,0,B,A,B+,B+
BBA,ACC 303,21,5,B-,A,B,B-
BBA,ACC 303,21,0,A,A,A,A
BBA,ACC 303,21,2,A,B+,A,A
BBA,ACC 303,21,2,B-,A,B+,B
BBA,ACC 303,21,0,A,B+,A,B+
BBA,ACC 303,21,7,C,B+,B-,B-
BBA,ACC 303,21,0,A,A,A,B+
BBA,ACC 303,21,2,A,A,B+,B
BAEcon,ACC 303,21,0,B+,A,B+,B
BAEcon,ACC 303,21,1,A,A,B+,B
BAEcon,ACC 303,21,1,A,A,A,B+
BAEcon,ACC 303,21,4,A,A,A,B
BAEcon,ACC 303,21,2,B,A,B+,B
BATHM,ACC 303,21,16,B-,B+,B-,B-
BBA,ACC 303,21,0,B-,A,B+,B-
BAEcon,ACC 303,21,0,B+,A,B+,B+
BBA,ACC 303,21,8,B-,B-,B-,B-
BBA,ACC 303,21,6,B+,A,B+,B
BBA,ACC 303,21,1,B+,A,A,B+
BBA,ACC 303,22,1,B+,B,B,B
BBA,ACC 303,22,3,B+,A,B+,B-
BBA,ACC 303,22,2,B,A,B+,B
BBA,ACC 303,22,2,C,B,B-,B-
BATHM,ACC 303,22,3,A,B,B+,A
BBA,ACC 303,22,3,B-,A,B-,B-
BBA,ACC 303,22,7,C,B+,B-,B-
BAEcon,ACC 303,22,1,A,A,A,B+
BBA,ACC 303,22,1,B-,B-,B,B-
BBA,ACC 303,22,1,B-,B+,B,B-
BBA,ACC 303,22,3,C,A,B,B
BAEcon,ACC 303,22,0,A,A,A,A
BATHM,ACC 303,22,1,B-,B,B,B
BBA,ACC 303,22,3,B+,B+,B,B
BBA,ACC 303,22,0,B-,B-,B+,B
BBA,ACC 303,22,1,B,B+,B,C+
BBA,ACC 303,22,7,B-,B-,B-,C+
BBA,ACC 303,22,13,B,B+,B-,B-
BBA,ACC 303,22,2,B-,A,B-,C-
BBA,ACC 303,22,3,A,A,A,B+
BBA,ACC 303,22,3,B,B+,B+,B
BBA,ACC 303,22,5,B,B+,B,B-
BBA,ACC 303,22,3,B,B+,B+,B
BAEcon,ACC 303,22,0,B+,B+,B,B
BATHM,ACC 303,22,17,C+,B+,B-,B
BBA,ACC 303,22,3,C+,B+,B-,C+
BATHM,ACC 303,22,2,B-,A,B+,B
BBA,ACC 303,24,2,B+,B-,B+,B+
BBA,ACC 303,24,0,B+,B-,A,A
BBA,ACC 303,24,1,B+,B-,B+,B-
BBA,ACC 303,24,2,B+,B,A,A
BBA,ACC 303,24,0,A,A,A,A
BBA,ACC 303,24,2,B,B-,B+,B+
BBA,ACC 303,24,2,B,B-,B+,B-
BBA,ACC 303,24,5,B+,C+,B+,B
BBA,ACC 303,24,3,B+,B-,B+,A
BBA,ACC 303,24,3,C+,C+,B-,B
BBA,ACC 303,24,1,B-,B+,B+,A
BBA,ACC 303,24,2,B+,B-,B+,B
BBA,ACC 303,24,5,C-,B-,B-,B-
BBA,ACC 303,24,4,A,B+,A,A
BBA,ACC 303,24,11,B-,C+,C,D+
BBA,ACC 303,24,2,B+,B-,B+,B+
BBA,ACC 303,24,1,B,B-,B,B-
BBA,ACC 303,24,7,C,B-,C-,C+
BBA,ACC 303,24,0,B+,B-,B+,B
BAEcon,ACC 303,24,2,C,B-,B-,B-
BBA,ACC 303,24,4,C-,C+,C,C
BATHM,ACC 303,24,15,B-,C+,C-,C-
BATHM,ACC 303,24,2,C,B-,B-,B-
BBA,ACC 303,24,1,B,B-,B-,C
BBA,ACC 304,42,9,B-,B+,B-,B-
BBA,ACC 304,42,4,B+,A,A,B+
BBA,ACC 304,42,11,C,A,C+,C-
BBA,ACC 304,42,10,B-,B,B,B
BBA,ACC 304,42,3,B-,B,B,B-
BBA,ACC 304,42,0,B,B,B+,B+
BBA,ACC 304,42,2,B+,A,A,A
BBA,ACC 304,42,4,B,B,B,B-
BBA,ACC 304,42,11,B,B+,B,B
BBA,ACC 304,42,12,B,B-,B,B
BBA,ACC 304,42,1,B+,A,A,A
BBA,ACC 304,42,1,B,B+,B+,B
BBA,ACC 304,42,2,B,A,B+,B
BBA,ACC 304,42,4,A,B+,A,A
BBA,ACC 304,42,4,B-,B-,B,B+
BBA,ACC 304,42,6,B+,B+,B+,B
BBA,ACC 304,42,6,C,B-,B,B-
BBA,ACC 304,42,9,C+,B,B-,C-
BBA,ACC 304,42,2,B-,B+,B+,B+
BBA,ACC 304,42,8,B,A,B+,B
BBA,ACC 304,42,1,B-,B+,B+,B
BBA,ACC 304,42,5,C-,D+,C+,B-
BBA,ACC 304,42,2,B,B+,B+,B
BBA,ACC 304,42,0,B,A,A,B+
BBA,ACC 304,42,2,A,A,A,A
BBA,ACC 304,42,7,B-,B,B-,B-
BBA,ACC 304,42,3,B+,A,A,A
BBA,ACC 304,42,4,B,B+,B+,B
BBA,ACC 304,42,4,C,B-,B-,B-
BBA,ACC 304,42,7,B,B+,B+,B
BBA,ACC 304,42,4,B-,B-,B-,B-
BBA,ACC 304,42,16,B-,C,B,B+
BBA,ACC 304,42,1,A,B+,A,B+
BBA,ACC 304,42,7,B,B-,B+,B+
BBA,ACC 304,42,4,B,A,B+,B+
BBA,ACC 304,42,5,B,B+,B+,B
BBA,ACC 304,42,5,B,B+,B+,B
BBA,ACC 304,42,7,B+,B,B+,B-
BBA,ACC 304,42,9,B,B,B,B+
BBA,ACC 304,42,7,C+,C+,B,B
BBA,ACC 304,42,4,B+,B,B+,B
BBA,ACC 304,42,4,C,B,B-,B-
BBA,ACC 304,42,1,B,B,B+,B
BBA,ACC 304,42,7,B,B,B,B-
BBA,ACC 304,42,7,C+,B,B,B
BBA,ACC 304,42,15,B+,B+,B,B
BBA,ACC 304,42,1,B+,B-,B+,B-
BBA,ACC 304,42,2,B+,B-,B+,B+
BBA,ACC 304,42,1,B-,A,B+,B
BBA,ACC 304,42,1,B,B-,B+,B
BBA,ACC 304,42,0,C+,C+,B,B+
BBA,ACC 304,42,1,B-,B-,B+,B
BBA,ACC 304,42,6,B+,B+,B+,B+
BBA,ACC 304,42,1,B,B,B+,B
BBA,ACC 401,42,3,B,A,A,A
BBA,ACC 401,42,2,A,A,A,B+
BBA,ACC 401,42,3,B+,B-,B+,B+
BBA,ACC 401,42,1,B+,C-,B+,B+
BBA,ACC 401,42,2,B+,B,B+,B+
BBA,ACC 401,42,0,A,B-,A,A
BBA,ACC 401,42,7,C-,B-,B-,B-
BBA,ACC 401,42,5,B-,B-,B,B+
BBA,ACC 401,42,2,B+,B+,B+,B+
BBA,ACC 401,42,0,B+,B,B+,B
BBA,ACC 401,42,0,C+,C+,B,A
BBA,ACC 401,42,0,A,B+,A,A
BBA,ACC 401,42,3,B+,A,A,A
BBA,ACC 401,42,1,B,B,B+,B
BBA,ACC 401,42,4,B-,C-,B,B+
BBA,ACC 401,42,4,B,C+,B,B+
BBA,ACC 401,42,1,B,B+,B+,B+
BBA,ACC 401,42,0,A,B+,A,B+
BBA,ACC 401,42,0,A,A,A,A
BBA,ACC 401,42,1,A,A,A,B+
BBA,ACC 403,33,0,B+,B+,A,B+
BBA,ACC 403,33,0,B,A,A,A
BBA,ACC 403,33,1,A,A,A,B+
BBA,ACC 403,33,1,A,A,A,A
BBA,ACC 403,33,4,B-,D+,B+,B+
BBA,ACC 403,33,4,B+,A,A,B
BBA,ACC 403,33,5,B-,B-,B+,B+
BBA,ACC 403,33,5,B+,C,A,B
BBA,ACC 403,33,4,D+,F,C-,D
BBA,ACC 403,33,0,B,F,B+,B
BBA,ACC 403,33,8,D+,F,C+,C
BBA,ACC 403,33,5,C+,C+,B-,D
BBA,ACC 405,40,5,A,A,A,A
BBA,ACC 405,40,1,B+,A,A,A
BBA,ACC 405,40,0,B-,A,A,A
BBA,ACC 405,40,2,B+,B-,B+,B+
BBA,ACC 405,40,0,A,A,A,A
BBA,ACC 405,40,0,A,B,A,A
BBA,ACC 405,40,4,B+,B-,B,B-
BBA,ACC 405,40,3,B,A,A,A
BBA,ACC 405,40,4,B+,A,B+,B+
BBA,ACC 405,40,4,B+,B+,B+,B+
BBA,ACC 405,40,3,A,A,A,B+
BBA,ACC 405,40,2,B,A,A,A
BBA,ACC 405,40,5,A,B+,A,A
BBA,ACC 405,40,2,C+,B,B-,C-
BBA,ACC 405,40,3,B-,B+,B+,B
BBA,ACC 405,40,1,B-,B,B,B
BBA,ACC 405,40,1,B+,B+,A,B+
BBA,ACC 405,40,1,B+,B+,B+,B-
BBA,ACC 405,40,0,A,A,A,B+
BBA,ACC 405,40,13,B,B-,B-,B-
BBA,ACC 405,40,0,B+,B,B+,B+
MBA,ACC 504,42,2,B-,B,B,B-
BSAg,AGR 101,53,2,A,A,A,A
BSAg,AGR 101,53,6,B+,A,A,A
BSAG,AGR 101,53,2,B+,B-,B+,A
BSAg,AGR 101,53,3,B,A,A,A
BSAg,AGR 101,53,2,B+,A,A,A
BSAg,AGR 101,53,12,A,A,A,A
BSAg,AGR 101,53,14,A,A,A,A
BSAg,AGR 101,53,4,A,B,A,A
BSAg,AGR 101,53,2,A,A,A,A
BSAg,AGR 101,53,3,B-,A,B,B+
BSAg,AGR 101,53,22,C+,F,F,B+
BSAg,AGR 101,53,16,A,B,A,A
BSAg,AGR 101,53,14,B,B-,B,A
BSAg,AGR 101,53,6,B,A,A,A
BSAg,AGR 101,53,15,B-,C,B-,B+
BSAg,AGR 101,53,3,A,A,A,A
BSAg,AGR 101,53,26,B-,B,B,B+
BSAg,AGR 101,53,2,A,A,A,A
BSAg,AGR 101,53,11,B+,B-,B+,A
BSAg,AGR 101,53,5,A,B-,B,A
BSAg,AGR 101,53,6,A,A,A,A
BSAg,AGR 101,53,16,B+,A,B+,A
BSAg,AGR 101,53,2,A,A,A,A
BSAg,AGR 101,53,15,B+,A,A,A
BSAg,AGR 101,53,10,B+,B-,B,A
BSAg,AGR 101,53,5,A,A,A,A
BSAg,AGR 101,53,8,B+,C,B-,B-
BSAg,AGR 101,53,7,B+,A,A,A
BSAg,AGR 101,53,7,B+,A,A,A
BSAg,AGR 101,53,6,B+,C-,B,A
BSAg,AGR 101,53,5,B-,A,A,B+
BSAg,AGR 101,53,7,A,B-,B+,B+
BSAg,AGR 101,53,9,B-,A,B+,A
BSAg,AGR 101,53,24,B+,B-,B-,C
BSAg,AGR 101,53,2,B,A,A,A
BSAg,AGR 101,53,11,B-,B,B-,B+
BSAg,AGR 101,53,13,B,C-,B-,B-
BSAg,AGR 101,53,8,A,A,A,A
BSAg,AGR 101,53,10,B,B-,B+,A
BSAg,AGR 101,53,2,A,A,A,A
BSAg,AGR 101,53,2,B+,A,B+,A
BSAg,AGR 101,53,10,B,A,B+,B+
BSAg,AGR 101,53,9,A,B,A,A
BSAg,AGR 101,53,10,B,B,B-,A
BSAg,AGR 101,53,7,A,A,A,A
BSAg,AGR 101,53,4,B,B-,B,B+
BSAg,AGR 101,53,11,B,C,B-,B
BSAg,AGR 101,53,5,A,A,A,A
BSAG,AGR 101,53,4,C,C-,B-,B+
BSAg,AGR 101,53,10,B+,A,A,B+
BSAg,AGR 101,53,6,B+,B,B,B
BSAg,AGR 101,53,51,F,F,F,F
BSAg,AGR 101,48,5,A,A,A,A
BSAg,AGR 101,48,0,A,A,A,A
BSAg,AGR 101,48,5,A,A,A,A
BSAg,AGR 101,48,0,A,A,A,A
BSAg,AGR 101,48,5,A,A,A,B
BSAg,AGR 101,48,0,A,A,A,A
BSAg,AGR 101,48,1,B+,A,A,A
BSAg,AGR 101,48,10,B-,A,B+,B+
BSAg,AGR 101,48,4,B-,B-,B,B+
BSAg,AGR 101,48,10,B-,A,B+,A
BSAg,AGR 101,48,0,A,A,A,A
BSAg,AGR 101,48,7,A,B,A,A
BSAg,AGR 101,48,2,B+,A,A,B
BSAg,AGR 101,48,3,B+,A,A,B+
BSAg,AGR 101,48,8,B+,A,A,B
BSAg,AGR 101,48,3,A,A,A,A
BSAg,AGR 101,48,7,B-,B-,B-,B
BSAg,AGR 101,48,14,B+,A,A,A
BSAg,AGR 101,48,0,B-,A,A,A
BSAg,AGR 101,48,6,B,A,A,B
BSAg,AGR 101,48,6,B+,B-,A,A
BSAg,AGR 101,48,3,B-,A,B,B
BSAg,AGR 101,48,1,B-,A,A,B
BSAg,AGR 101,48,1,A,A,A,A
BSAg,AGR 101,48,14,B-,A,B,B
BSAg,AGR 101,48,6,B+,B-,B,B
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAG,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,B
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,B
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,B
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,B
BSAg,AGR 102,,,,,,B
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,B
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAG,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,B
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,B
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,B
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,B
BSAg,AGR 102,,,,,,B
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,B
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,B
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,B
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,B
BSAg,AGR 102,,,,,,A
BSAg,AGR 102,,,,,,B
BSAg,AGR 102,,,,,,B
BSAg,AGR 203,41,2,A,A,A,A
BSAg,AGR 203,41,0,B+,A,A,A
BSAg,AGR 203,41,0,B+,A,A,A
BSAg,AGR 203,41,1,B,A,B+,A
BSAg,AGR 203,41,0,A,A,A,B+
BSAg,AGR 203,41,0,A,A,A,A
BSAg,AGR 203,41,0,A,A,A,A
BSAg,AGR 203,41,1,B+,A,B+,A
BSAg,AGR 203,41,3,B+,A,B+,B-
BSAg,AGR 203,41,2,B+,A,A,B+
BSAg,AGR 203,41,2,A,A,A,A
BSAg,AGR 203,41,4,A,A,A,A
BSAg,AGR 203,41,0,B+,A,A,A
BSAg,AGR 203,41,2,A,A,A,A
BSAg,AGR 203,41,3,B+,A,B+,B-
BSAg,AGR 203,41,0,A,B+,A,A
BSAg,AGR 203,41,1,B+,A,A,A
BSAg,AGR 203,41,0,A,A,A,A
BSAg,AGR 203,41,3,B+,A,B+,B+
BSAg,AGR 203,41,4,B-,B+,B,B-
BSAg,AGR 203,41,1,B+,A,A,B+
BSAg,AGR 203,41,7,B,A,B+,A
BSAg,AGR 203,41,1,B-,A,B+,A
BSAg,AGR 203,41,0,A,A,A,A
BSAg,AGR 203,41,3,B,A,B+,B-
BSAg,AGR 203,41,1,A,A,A,A
BSAg,AGR 204,,,,,,A
BSAg,AGR 204,,,,,,A
BSAg,AGR 204,,,,,,A
BSAg,AGR 204,,,,,,A
BSAg,AGR 204,,,,,,A
BSAg,AGR 204,,,,,,A
BSAg,AGR 204,,,,,,A
BSAg,AGR 204,,,,,,B+
BSAg,AGR 204,,,,,,B+
BSAg,AGR 204,,,,,,A
BSAg,AGR 204,,,,,,A
BSAg,AGR 204,,,,,,A
BSAg,AGR 204,,,,,,A
BSAg,AGR 204,,,,,,A
BSAg,AGR 204,,,,,,B+
BSAg,AGR 204,,,,,,A
BSAg,AGR 204,,,,,,A
BSAg,AGR 204,,,,,,A
BSAg,AGR 204,,,,,,A
BSAg,AGR 204,,,,,,B
BSAg,AGR 204,,,,,,B+
BSAg,AGR 204,,,,,,A
BSAg,AGR 204,,,,,,A
BSAg,AGR 205,46,15,C,D,C-,D+
BSAg,AGR 205,46,37,D+,D+,D,D+
BSAg,AGR 205,46,3,A,A,A,A
BSAg,AGR 205,46,12,B-,C,B-,C-
BSAg,AGR 205,46,0,B,B,A,B-
BSCE,MAT 237,36,0,C+,B-,B,C+
BSAg,AGR 205,46,5,C+,A,B,B
BSAg,AGR 205,46,7,B-,A,B-,C+
BSAg,AGR 205,46,7,B-,B-,B,B
BSAg,AGR 205,46,1,B-,B-,B,B-
BSAg,AGR 205,46,2,B-,C+,B,C
BSAg,AGR 205,46,5,C-,B-,C,D+
BSAg,AGR 205,46,26,C+,C-,C,C-
BSAg,AGR 205,46,1,B,C-,B,C+
BSAG,AGR 205,46,0,A,C-,A,A
BSAg,AGR 205,46,39,D+,D,D,D+
BSAg,AGR 205,46,31,D+,D,D,D
BSAg,AGR 205,46,12,B+,D,B-,C
BSAg,AGR 241,52,1,B,B-,B,B-
BSAg,AGR 241,52,11,B-,B+,B,B
BSAg,AGR 241,52,1,A,A,A,B+
BSAg,AGR 241,52,8,B,C+,B,B-
